"Date","Hour","Price","Demand","PV","Wind","Netimport"
"01.01.2010",1,26.25,59884,0,3517.35,-322
"01.01.2010",2,18.46,59840,0,3478.15,-140
"01.01.2010",3,20.08,57602,0,3413.775,923
"01.01.2010",4,16.99,54359,0,3318.775,-322
"01.01.2010",5,15.92,52507,0,3058.625,-1189
"01.01.2010",6,7.99,52218,0,3110.125,-402
"01.01.2010",7,0.47,52272,0,2866.525,544
"01.01.2010",8,4.01,52656,0,2532.975,-55
"01.01.2010",9,1.08,52307,6.25,2381.325,-177
"01.01.2010",10,8.01,54262,81.375,2206.425,185
"01.01.2010",11,8.85,56853,234.775,2016,389
"01.01.2010",12,18.82,59228,436.45,1874.625,-190
"01.01.2010",13,21.6,62647,592.1,1832.275,319
"01.01.2010",14,18.82,60535,512.85,1701.95,464
"01.01.2010",15,17.79,58428,332.975,1737.65,1341
"01.01.2010",16,18.89,57842,120.55,1614.9,543
"01.01.2010",17,23.46,58755,7.45,1566.625,197
"01.01.2010",18,38.07,64178,0.325,1439.875,-2630
"01.01.2010",19,40.58,66807,0,1445.4,-1880
"01.01.2010",20,38.1,67192,0,1483.825,-1099
"01.01.2010",21,36.96,65885,0,1383.325,929
"01.01.2010",22,28.85,63939,0,1266.65,1509
"01.01.2010",23,40.01,67290,0,1123.25,475
"01.01.2010",24,35.13,65746,0,966.825,1086
"02.01.2010",1,38.71,61915,0,890.425,2471
"02.01.2010",2,28.92,61902,0,824.3,3218
"02.01.2010",3,24.07,60036,0,800.95,3290
"02.01.2010",4,22.25,58091,0,756.65,2116
"02.01.2010",5,19.31,57689,0,714.525,920
"02.01.2010",6,20.85,58923,0,780.55,1550
"02.01.2010",7,20.48,60492,0,809.425,3832
"02.01.2010",8,31.72,63008,0,903.075,2909
"02.01.2010",9,33.88,64656,3.925,934.8,2435
"02.01.2010",10,37.86,67281,90.1,950.275,2315
"02.01.2010",11,40.74,67991,383.8,1015,1997
"02.01.2010",12,44.46,68475,1000.575,1027.075,468
"02.01.2010",13,46.54,70187,1308.85,955.075,822
"02.01.2010",14,40.54,67004,1037.575,925.1,1593
"02.01.2010",15,39.65,64802,879.375,977.225,1773
"02.01.2010",16,36.98,63774,419.075,1068.575,1471
"02.01.2010",17,38.57,64778,48.95,1072.9,1116
"02.01.2010",18,50.23,71590,1.325,1215.25,-425
"02.01.2010",19,59.72,74690,0,1311,-242
"02.01.2010",20,56.19,73569,0,1314.6,362
"02.01.2010",21,44.52,71273,0,1241.975,1956
"02.01.2010",22,40.03,68738,0,1259.55,1176
"02.01.2010",23,44.25,71955,0,1312.65,906
"02.01.2010",24,40.77,70429,0,1294.65,1945
"03.01.2010",1,33.56,66658,0,1166.175,1258
"03.01.2010",2,31.92,66251,0,1114.825,1351
"03.01.2010",3,29.05,63940,0,1179.8,876
"03.01.2010",4,26.72,61165,0,1253.15,291
"03.01.2010",5,21.58,59971,0,1318.075,-764
"03.01.2010",6,17.89,60241,0,1412.7,491
"03.01.2010",7,6.89,60737,0,1459.525,-4
"03.01.2010",8,18.85,62098,0,1816.05,955
"03.01.2010",9,20.86,63306,5.775,1799.45,735
"03.01.2010",10,30.43,66237,116.6,1612.5,987
"03.01.2010",11,34.07,68595,544.7,1368.55,1804
"03.01.2010",12,43.21,69910,1010.3,1165.825,1485
"03.01.2010",13,46.37,72079,1300.575,861.4,1417
"03.01.2010",14,38.63,68576,1299.1,701.475,1528
"03.01.2010",15,31.34,66470,869.9,590.65,1544
"03.01.2010",16,29.68,65385,372.125,519.525,988
"03.01.2010",17,31.07,66459,69.275,525.05,385
"03.01.2010",18,46.79,72527,0.925,584.85,-814
"03.01.2010",19,54.13,76037,0,501.15,-119
"03.01.2010",20,52.79,75930,0,381.6,886
"03.01.2010",21,45.9,73594,0,282.475,2152
"03.01.2010",22,38.56,70820,0,357.925,837
